day,month,year,category,number of vehicles,number of sites
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
27,2,2019,6,445,6
27,2,2019,7,0,6
27,2,2019,0,0,6
27,2,2019,1,339,6
27,2,2019,2,4993,6
27,2,2019,3,1850,6
27,2,2019,4,0,6
27,2,2019,5,0,6
